	Kingdom	Phylum	Class	Order	Family	Genus
ASV1464	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales UF	Woesearchaeales UG
ASV1450	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata UO	Thermoplasmata UF	Thermoplasmata UG
ASV18	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata UO	Thermoplasmata UF	Thermoplasmata UG
ASV2716	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata UO	Thermoplasmata UF	Thermoplasmata UG
ASV1118	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV1484	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV1517	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV2084	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV275	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV595	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV609	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV949	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosopumilus
ASV1545	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum
ASV899	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Cenarchaeum
ASV2088	Archaea	Thermoproteota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae UG
ASV2041	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrosocosmicus
ASV685	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae UG
ASV1101	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella
ASV1176	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
ASV1894	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
ASV2427	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
ASV1179	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae UG
ASV1457	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae UG
ASV1755	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae UG
ASV2010	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Thermoanaerobaculaceae UG
ASV1193	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina
ASV253	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus Actinomarina
ASV1263	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV1594	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV1827	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV1869	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV1903	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV2145	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV2184	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV2300	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV2415	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV470	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV708	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Actinomarinales UF	Actinomarinales UG
ASV1140	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV1817	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV2075	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV2199	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV607	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV965	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter
ASV2263	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacteraceae UG
ASV1207	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV1528	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV1890	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV2655	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV2780	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV644	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV700	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV915	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV976	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae UG
ASV1361	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
ASV1019	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
ASV2192	Bacteria	Actinomycetota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
ASV2537	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
